date,沪深300ETF,中证500ETF,创业板ETF,"科创50ETF
"
2020/11/16,5.362,1.973,2.62,1.465
2020/11/17,5.353,1.96,2.572,1.436
2020/11/18,5.346,1.958,2.534,1.424
2020/11/19,5.388,1.969,2.556,1.438
2020/11/20,5.403,1.986,2.576,1.435
2020/11/23,5.461,2.001,2.593,1.422
2020/11/24,5.429,2,2.582,1.416
2020/11/25,5.367,1.968,2.528,1.393
2020/11/26,5.374,1.962,2.522,1.39
2020/11/27,5.445,1.97,2.532,1.392
2020/11/30,5.42,1.956,2.541,1.391
2020/12/1,5.531,1.987,2.602,1.409
2020/12/2,5.52,1.989,2.593,1.414
2020/12/3,5.518,1.996,2.619,1.417
2020/12/4,5.529,2.003,2.637,1.411
2020/12/7,5.485,1.988,2.628,1.412
2020/12/8,5.469,1.986,2.646,1.408
2020/12/9,5.409,1.955,2.598,1.38
2020/12/10,5.399,1.958,2.627,1.383
2020/12/11,5.343,1.926,2.601,1.396
2020/12/14,5.387,1.941,2.641,1.413
2020/12/15,5.402,1.943,2.667,1.406
2020/12/16,5.412,1.935,2.667,1.388
2020/12/17,5.483,1.959,2.694,1.406
2020/12/18,5.454,1.952,2.688,1.403
2020/12/21,5.499,1.983,2.778,1.43
2020/12/22,5.422,1.945,2.718,1.403
2020/12/23,5.463,1.956,2.745,1.417
2020/12/24,5.463,1.931,2.726,1.393
2020/12/25,5.505,1.949,2.749,1.394
2020/12/28,5.519,1.937,2.745,1.38
2020/12/29,5.503,1.929,2.717,1.381
2020/12/30,5.567,1.945,2.799,1.403
2020/12/31,5.676,1.974,2.866,1.434
2021/1/4,5.723,2.008,2.976,1.464
2021/1/5,5.822,2.026,2.988,1.468
2021/1/6,5.871,2.023,3.003,1.458
2021/1/7,5.988,2.032,3.056,1.429
2021/1/8,5.96,2.037,3.036,1.423
2021/1/11,5.897,2.005,2.989,1.437
2021/1/12,6.057,2.03,3.076,1.45
2021/1/13,6.035,2.017,3.025,1.454
2021/1/14,5.932,2.003,2.987,1.498
2021/1/15,5.915,1.996,2.99,1.492
2021/1/18,5.974,2.02,3.046,1.526
2021/1/19,5.899,2.009,2.976,1.492
2021/1/20,5.929,2.027,3.096,1.524
2021/1/21,6.023,2.056,3.176,1.526
2021/1/22,6.026,2.058,3.241,1.536
2021/1/25,6.092,2.062,3.242,1.542
2021/1/26,5.972,2.03,3.152,1.524
2021/1/27,5.982,2.035,3.166,1.503
2021/1/28,5.846,1.997,3.057,1.469
2021/1/29,5.809,1.969,3.029,1.467
